test,BetacommandBot|MediaWiki default
nl,AStarBot|AbiBot|Adlerbot|Aibot|AkoopalBot|Albambot|Alecs.bot|Alexbot|AlleborgoBot|AlnoktaBOT|Amirobot|AnnabelsBot|Apocatequil|ArthurBot|AstaBOTh15|BOT-Superzerocool|BOTarate|Basvbbot|BenzolBot|BerendBotje|BetBot|BlackBot|BodhisattvaBot|BokimBot|BotChristophe|BotEmpoor|BotKoen|BotMultichill|BotMultichillT|BotOx|BotSottile|BotSvdmolen|BotdeSki|Broadbot|ButkoBot|Byrialbot|CaAlbot Sjors|CapacciBot|CarsracBot|ChenzwBot|Chlewbot|Chobot|CrazyPhunkbot|DSisyphBot|D\|Darkicebot|DavinAWB|DennisPeetersBot|Dinamik-bot|DirlBot|DixonDBot|DodekBot|DorganBot|DrFO.Tn.Bot|DragonBot|DumZiBoT|DÃ©RaBot|Edoderoobot|Egmontbot|EivindBot|EleferenBot|EmausBot|Erwin85Bot|Erwin85TBot|Escarbot|Ficbot|FiriBot|FlaBot|FoxBot|FreakyBot|Gerakibot|Gerbot|GhalyBot|GnawnBot|Gpvosbot|GrouchoBot|HRoestBot|HennaBot|HooftBot|Hxhbot|Idioma-bot|JAnDbot|Japiobot|JePeAWB|Jeroenbot|Jotterbot|KamikazeBot|Ken123BOT|KhanBot|KrinkleBot|Kwjbot|Kyle the bot|LA2-bot|LaaknorBot|LarzBot|Le Pied-bot|LeonardoRob0t|LinkFA-Bot|Lockalbot|LolsimonBot|Louperibot|Loveless|LucienBOT|Luckas-bot|MSBOT|MTrBot|MagalhaesBot|MastiBot|MauritsBot|MelancholieBot|MelsaranAWB|Melusine|MenoBot|Mentibot|MerlLinkBot|MexicanoBot|MondalorBot|MrBlueBot|MrgreenBot|MultichillAWB|Muro Bot|MwpnlBot|MystBot|Nallimbot|Naudefjbot|NielsAWB|Obarskyr Bot|Obersachsebot|Peti610bot|PipepBot|PixelBot|Pjotrbot|PolarBot|Pompidombot|Ptbotgourou|Purbo T|RedBot|Rei-bot|ReinaartBot|Riad.Bot|RibotBOT|Riccardobot|Robbot|RoboServien|RobotE|RobotJcb|RobotMichiel1972|RobotQuistnix|RobotTbc|Robotpjetter|RomaineBot|Rubotje88|RudolphousBot|SNRbot|SanderSpekBot|SassoBot|SieBot|Silver Spoon Bot|SilvonenBot|Soulbot|SpBot|SpillingBot|StigBot|Sumurai8-Bot|SusBot|Synthebot|TXiKiBoT|TaBOT-zerem|TdvBot|Thijs!bot|Timk70-Bot|TjBot|TobeBot|TroefBot|TuHan-Bot|TuvicBot|Ugur Basak Bot|VVVBot|Valhallasw-botje|Ver-bot|Vini 17bot5|VolkovBot|WarddrBOT|WebBot|WikiBotas|WikiDreamer Bot|WillBot|Wybot|XZeroBot|Xqbot|YonaBot|Yonidebot|YurikBot|Zabot|Zorrobot|Zxabot|Zyxwvut-Bot|ZÃ©roBot|ã‚¿ãƒ�ã‚³ãƒž robot
pl,AHbot|AStarBot|Adlerbot|Aibot|AkBot|Albambot|Alexbot|Almabot|AlohaBOT|Amirobot|AmphBot|ArthurBot|BOTarate|Beau.bot|Beau.bot.admin|BenzolBot|Bocianski.bot|BodhisattvaBot|BokimBot|BotMultichill|BotOks|BotdeSki|ButkoBot|CarsracBot|Chobot|CommonsDelinker|Cookie.bot|DSisyphBot|D\|Darkicebot|Dinamik-bot|DirlBot|DixonDBot|DodekBot|DragonBot|DumZiBoT|Egmontbot|EleferenBot|EmBOTellado|EmausBot|Escarbot|FlaBot|G.bot|Gerakibot|GhalyBot|GnawnBot|GrouchoBot|HRoestBot|HerculeBot|Holek.Bot|Huzzlet the bot|Idioma-bot|JAnDbot|KamikazeBot|Kbot|Kgsbot|Kwjbot|LaaknorBot|LeafBot|Loveless|LucienBOT|Luckas-bot|MBot|MSBOT|Maksim-bot|MalarzBOT|MastiBot|MatmaBot|MauritsBot|MelancholieBot|MenoBot|Mentibot|Merdis.bot|MerlLinkBot|Miner|MiszaBot|MondalorBot|Muro Bot|MystBot|Nallimbot|NickyBot|Obersachsebot|PowerBot|Ptbotgourou|Purbo T|Rameshngbot|RedBot|Rei-bot|RewersBot|RibotBOT|Robbot|Rubinbot|SashatoBot|SassoBot|SieBot|SilvonenBot|Soulbot|SpBot|Staszek Jest Jeszcze Szybszy|StigBot|Synthebot|TAMMBot|TXiKiBoT|Tanhabot|ThBot|Thijs!bot|Thollybot|TjBot|ToBot|TobeBot|TottyBot|Trivelt.bot|Tsca.bot|TuHan-Bot|VP-bot|Ver-bot|VolkovBot|WarXboT|WiktorynBot|Wybot|Xqbot|YarluBot|Yonidebot|ZbiczekBot|Zwobot|Zxabot|ZÃ©roBot
cho,AlleborgoBot|MediaWiki default
pt,Adlerbot|Aibot|Albambot|Alch Bot|Aleph Bot|Alexbot|AlleborgoBot|Almabot|AlnoktaBOT|Alph Bot|Amirobot|ArthurBot|AstaBOTh15|BOT-Superzerocool|BOTarate|BOTijo|BenzolBot|BetBot|BodhisattvaBot|BokimBot|Bot-Schafter|BotMultichill|BotSottile|BotStats|Byrialbot|CarsracBot|CasteloBot|Chlewbot|Chobot|ChristianBot|DSisyphBot|D\|Darkicebot|DarwinBot|Diego Grez Bot|Dinamik-bot|DirlBot|DixonDBot|DorganBot|DrFO.Tn.Bot|DragonBot|DumZiBoT|E2mb0t|Egmontbot|EleferenBot|EmBOTellado|EmausBot|Escarbot|FMTbot|Ficbot|FilRBot|FiriBot|FlaBot|Gerakibot|Getbot|GhalyBot|Giro bot|GnawnBot|GoeBOThe|HRoestBot|Hashar|HerculeBot|HooftBot|Hxhbot|Idioma-bot|JAnDbot|JCarvalhoBot|JoaoMirandaBot|KamikazeBot|KhanBot|Kwjbot|Kyle the bot|LaaknorBot|Lady Akasha Bot|Le Pied-bot|Lechat bot|LeoBot|LeonardoRob0t|LijeBot|LinkFA-Bot|Lockalbot|Louperibot|Luanbot|Lucia Bot|LucienBOT|Luckas-bot|M7bot|MSBOT|MalafayaBot|MastiBot|MauritsBot|MediaWiki default|MenoBot|Mentibot|MerlLinkBot|MondalorBot|Muro Bot|MystBot|NTBot|Nallimbot|Numbo3-bot|Obersachsebot|PCM|PipepBot|PixelBot|PolarBot|Proxybot|Ptbotgourou|QualiaBot|RBot|RCBot|RamissesBot|RebelRobot|RedBot|Rei-bot|Riad.Bot|RibotBOT|Riccardobot|Ripchip Bot|Rjbot|Robbot|RoboServien|RobotJcb|RobotQuistnix|Rubinbot|STBot|Salebot|SassoBot|SieBot|SilvonenBot|Sir Louis Point du Lac Bot|Soulbot|SpBot|StigBot|Synthebot|TXiKiBoT|TaBOT-zerem|ThBot|Thijs!bot|TjBot|TobeBot|TottyBot|TuHan-Bot|TuvicBot|Ugur Basak Bot|VP-bot|Ver-bot|Vini 17bot5|VolkovBot|WaldirBot|WarddrBOT|WikiBotas|WikiDreamer Bot|WinstonBot|Wybot|XZeroBot|Xqbot|YonaBot|Yonidebot|YurikBot|Zumg|Zwobot|Zxabot|Zyxwvut-Bot|ZÃ©roBot|ã‚¿ãƒ�ã‚³ãƒž robot
kk,AZatBot|Alexbot|AlleborgoBot|Almabot|BotMultichill|Byrialbot|CommonsTicker|Darkicebot|Escarbot|FoxBot|GaiJinBot|HerculeBot|Idioma-bot|JAnDbot|JhsBot|Luckas-bot|MediaWiki default|MelancholieBot|Memty Bot|PipepBot|Ptbotgourou|Purbo T|Robbot|SieBot|SoxBot|SpBot|Synthebot|TXiKiBoT|Thijs!bot|VolkovBot|Xqbot|Zwobot
ig,Alecs.bot|BotMultichill|CarsracBot|Escarbot|JAnDbot|Loveless|MediaWiki default|PipepBot|Purbo T|Robbot|SassoBot|SieBot|TXiKiBoT|Thijs!bot|VolkovBot|Xqbot
gn,AlleborgoBot|BotMultichill|Chlewbot|DirlBot|Escarbot|Idioma-bot|JAnDbot|Loveless|MalafayaBot|MediaWiki default|MelancholieBot|PipepBot|Purbo T|Robbot|SieBot|Synthebot|TXiKiBoT|Thijs!bot|VolkovBot
hr,Aibot|Albambot|Alexbot|AlleborgoBot|Almabot|Amirobot|ArthurBot|BOTijo|BetBot|BodhisattvaBot|BokimBot|Bot-San|BotMultichill|CarsracBot|Chobot|CommonsDelinker|CrniBot|CrniBot2|D\|Darkicebot|DirlBot|DixonDBot|DorganBot|DragonBot|Egmontbot|EleferenBot|EmausBot|EnteroBot|Escarbot|Ex13bot|FelixBot|FiriBot|GhalyBot|GnawnBot|GrmBot|HerculeBot|Idioma-bot|JAnDbot|Kal-El-Bot|KocjoBot|Kwjbot|Le Pied-bot|LeoninBot|Loveless|Luckas-bot|MSBOT|MastiBot|MediaWiki default|MelancholieBot|MerlLinkBot|MondalorBot|Muro Bot|MystBot|Nallimbot|NobelBot|PerkaBot|PhantomBot|PipepBot|Prociscivac|Ptbotgourou|Purbo T|Qualia|RedBot|Riad.Bot|Robbot|SashatoBot|SassoBot|SieBot|SilvonenBot|SombreroBot|Soulbot|SpBot|SpeedyBot|StigBot|Synthebot|TXiKiBoT|Thijs!bot|TjBot|TottyBot|TuvicBot|VolkovBot|Xqbot|Zwobot|Zxabot
xh,AlleborgoBot|BotMultichill|Loveless|MediaWiki default|PipepBot|Purbo T|SieBot|SpBot|TechBot|ã‚¿ãƒ�ã‚³ãƒž robot
ay,Alexbot|AlleborgoBot|BotMultichill|Byrialbot|CarsracBot|Chlewbot|Diego Grez Bot|Escarbot|Idioma-bot|JAnDbot|LaaknorBot|Loveless|LucienBOT|MediaWiki default|MelancholieBot|PipepBot|Ptbotgourou|Purbo T|RCBot|Robbot|SieBot|SilvonenBot|Synthebot|TXiKiBoT|Thijs!bot|VolkovBot|YurikBot
hak,Alexbot|AlleborgoBot|BotMultichill|Byrialbot|PipepBot|Purbo T|Robbot|SieBot|SpBot
lo,AlleborgoBot|BotMultichill|Idioma-bot|MediaWiki default|PipepBot|Purbo T|TechBot|TuinuiBot|YurikBot
lg,AlleborgoBot|BotMultichill|MediaWiki default|Purbo T
pam,BotMultichill|Byrialbot|DirlBot|Idioma-bot|Luckas-bot|MediaWiki default|PipepBot|Purbo T|RobotJcb|Synthebot
tet,AlleborgoBot|BotMultichill|CommonsDelinker|Escarbot|FloggerBot|JAnDbot|Kimberley-nia Bot|Le Pied-bot|MalafayaBot|MediaWiki default|PipepBot|Purbo T|Robbot|SieBot|SpBot|Synthebot|TXiKiBoT|Thijs!bot|VolkovBot|ã‚¿ãƒ�ã‚³ãƒž robot
kg,AlleborgoBot|BotMultichill|Idioma-bot|MediaWiki default|PipepBot|Purbo T|SieBot
scn,.anacondabot|Albambot|Alexbot|AlleborgoBot|Almabot|ArthurBot|BodhisattvaBot|BotMultichill|BotSottile|Byrialbot|CarsracBot|CruccoBot|Darkicebot|EmausBot|Escarbot|FiriBot|GhalyBot|Idioma-bot|JAnDbot|Le Pied-bot|Loveless|Luckas-bot|Luki-Bot|MediaWiki default|MelancholieBot|Melosbot|PipepBot|Ptbotgourou|Purbo T|Qscgu9-bot|Robbot|RobotJcb|SassoBot|SieBot|Soulbot|SpBot|Synthebot|Sz-iwbot|TXiKiBoT|Thijs!bot|TobeBot|TrengarasuBOT|VanBot|VolkovBot|WikiDreamer Bot|Xqbot|YurikBot|ã‚¿ãƒ�ã‚³ãƒž robot
bh,Alexbot|AlleborgoBot|Almabot|ArthurBot|BotMultichill|Darkicebot|Escarbot|MediaWiki default|PipepBot|Purbo T|Robbot|SassoBot|SieBot|SpBot|TXiKiBoT|VolkovBot|WikiDreamer Bot|ã‚¿ãƒ�ã‚³ãƒž robot
la,BenzolBot|BotMultichill|BotSottile|FlaBot|LucienBOT|MauritsBot|MediaWiki default|Purbo T|UVbot
glk,AlleborgoBot|BotMultichill|MediaWiki default|PipepBot|Purbo T|SieBot
kab,AlleborgoBot|BotMultichill|CarsracBot|Escarbot|JAnDbot|MelancholieBot|PipepBot|Purbo T|SieBot|TXiKiBoT|VolkovBot
av,Alexbot|AlleborgoBot|BotMultichill|CarsracBot|Idioma-bot|MediaWiki default|PipepBot|Purbo T|RCBot|SieBot
rw,AlleborgoBot|BotMultichill|Loveless|MediaWiki default|Purbo T
ta,Albambot|Alexbot|AlleborgoBot|Almabot|AmphBot|ArthurBot|BodhisattvaBot|BotMultichill|Byrialbot|CarsracBot|Chobot|CommonsDelinker|DSisyphBot|D\|Darkicebot|Dinamik-bot|DragonBot|Edwardspec TalkBot|Egmontbot|Escarbot|FiriBot|FoxBot|Ganeshbot|Gerakibot|HerculeBot|Idioma-bot|JAnDbot|Jotterbot|LaaknorBot|Le Pied-bot|Louperibot|Luckas-bot|Mahirbot|MastiBot|MediaWiki default|MelancholieBot|MerlLinkBot|Muro Bot|Obersachsebot|PipepBot|Ptbotgourou|Purbo T|RLinkBot|Ravidreamsbot|Redirect fixer|Robbot|RobotJcb|Rubinbot|SassoBot|SieBot|SilvonenBot|Soulbot|SpBot|StigBot|SundarBot|Synthebot|TRYPPNbot|TXiKiBoT|Thijs!bot|TobeBot|TrengarasuBOT|TuvicBot|Umapathybot|VinodhBOT|VolkovBot|VsBot|WikiDreamer Bot|Xqbot|YurikBot|Zorrobot|ã‚¿ãƒ�ã‚³ãƒž robot
sm,Alexbot|AlleborgoBot|BotMultichill|Byrialbot|Loveless|MediaWiki default|PipepBot|Purbo T|ã‚¿ãƒ�ã‚³ãƒž robot
sa,AlleborgoBot|BotMultichill|DragonBot|Loveless|MediaWiki default|PipepBot|Purbo T|SieBot|SpBot|StigBot|Synthebot|Sz-iwbot|YurikBot
lmo,AlleborgoBot|BOT-Superzerocool|Blamengh|BotMultichill|BotSottile|Byrial|Byrialbot|CarsracBot|CruccoBot|DragonBot|EmausBot|Escarbot|Ficbot|GondranBot|Idioma-bot|JAnDbot|Kgsbot|Le Pied-bot|Loveless|MediaWiki default|MenoBot|PipepBot|Purbo T|Rei-bot|Robbot|SieBot|SpBot|Synthebot|TXiKiBoT|Thijs!bot|TobeBot|VolkovBot|Xyboi|ã‚¿ãƒ�ã‚³ãƒž robot
ca,AStarBot|Albambot|Albertbot|Alecs.bot|Alexbot|AlleborgoBot|Almabot|Alph Bot|Amical-bot|Amirobot|ArthurBot|AstaBOTh15|AvatBOT|AvisaBot|BOTarate|BodhisattvaBot|BokimBot|BotMultichill|BotSottile|ButkoBot|Byrialbot|CarsracBot|Chlewbot|Chobot|Chrisbot|DSisyphBot|D\|Darkicebot|Dinamik-bot|DirlBot|DixonDBot|DrFO.Tn.Bot|DragonBot|EVA (bot)|Egmontbot|El bot de la dieta|EleferenBot|EmausBot|Escarbot|Estirabot|Ficbot|FlaBot|GhalyBot|GnawnBot|Hashar|HerculeBot|Idioma-bot|Iradigalesc Bot|JAnDbot|JoRobot|JoanjocBot|KRLS Bot|KamikazeBot|Kwjbot|Kyle the bot|LaaknorBot|Le Pied-bot|LinkFA-Bot|Locobot|Loveless|LucienBOT|Luckas-bot|MastiBot|MauritsBot|MediaWiki default|MelancholieBot|MenoBot|Mentibot|MerlLinkBot|MicruBot|MondalorBot|Muro Bot|MystBot|Nallimbot|NobelBot|Obersachsebot|Palica|PasqualBot|Pere BOTero|PipepBot|PixelBot|Ptbotgourou|Purbo T|Rebot|RedBot|ReigneBOT|Rembiapo pohyiete (bot)|Riad.Bot|RibotBOT|Ripchip Bot|Robbot|RobotQuistnix|Rubinbot|SMP AWB BOT|SalviBot|SassoBot|Schizodelightbot|SieBot|SignaBot|SilvonenBot|SoxBot|SpBot|StigBot|Synthebot|Sz-iwbot|TXiKiBoT|Thijs!bot|TirantLoBlanc-Bot|TjBot|TobeBot|TuHan-Bot|TuvicBot|UltraBot|Ver-bot|Vini 17bot5|VolkovBot|VriuBot|WikiDreamer Bot|Wybot|Xqbot|XtvBot|YonaBot|Yonidebot|Yrbot|YurikBot|Zwobot|Zxabot|Zyxwvut-Bot|ZÃ©roBot|ã‚¿ãƒ�ã‚³ãƒž robot
chr,Alexbot|AlleborgoBot|BotMultichill|Idioma-bot|MediaWiki default|MelancholieBot|PipepBot|Purbo T|SieBot|SpBot|StigBot|Synthebot|TsalagiBot|YurikBot
bm,Alexbot|AlleborgoBot|BotMultichill|Byrialbot|JAnDbot|Le Pied-bot|Loveless|MediaWiki default|PipepBot|Purbo T|Robbot|SieBot|TXiKiBoT|YurikBot
eo,Aibot|Albambot|Alecs.bot|Alexbot|AlleborgoBot|Almabot|Amirobot|Andrewbot|ArZ.Bot|ArthurBot|BOTarate|BOTijo|BenzolBot|BetBot|Bgbot|BodhisattvaBot|BokimBot|Bot-Schafter|BotMultichill|Broadbot|ButkoBot|Byrialbot|CarsracBot|CasteloBot|Chlewbot|Chobot|D\|Darkicebot|Diego Grez Bot|DirlBot|DixonDBot|DorganBot|DragonBot|Egmontbot|EleferenBot|EmausBot|Emubot|Erwin85Bot|Escarbot|Eskimbot|Ficbot|FiriBot|FlaBot|GangleriBot|GhalyBot|Gpvosbot|Hashar|HerculeBot|Homobot|Huzzlet the bot|Idioma-bot|JAnDbot|KamikazeBot|Kwjbot|Kyle the bot|Le Pied-bot|Loveless|LucienBOT|Luckas-bot|MSBOT|Maksim-bot|MalafayaBot|MastiBot|MediaWiki default|Melancholie|MenasimBot|MenoBot|MerlLinkBot|MondalorBot|Muro Bot|MystBot|Nallimbot|Obersachsebot|PipepBot|PixelBot|PolarBot|Ptbotgourou|Purbo T|Qualia|RBT|Rei-bot|Riad.Bot|Riccardobot|Robbot|Robotje|Roboto de Marcos|SassoBot|SieBot|SilvonenBot|SistMesEspigRoboto|Soulbot|SoxBot|SpBot|StigBot|Synthebot|Sz-iwbot|TARBOT|TXiKiBoT|TaBOT-zerem|Thijs!bot|TjBot|TobeBot|ToePeu.bot|TuvicBot|VP-bot|Vini 17bot5|VolkovBot|WikiDreamer Bot|WinstonoRoboto|Wybot|Xqbot|YekratsBot|YonaBot|YurikBot|Zwobot|Zxabot|ZÃ©roBot|ã‚¿ãƒ�ã‚³ãƒž robot
kj,MediaWiki default
bat_smg,Alexbot|AlleborgoBot|Almabot|BotMultichill|Botz|Byrialbot|CarsracBot|Darkicebot|Diego Grez Bot|DragonBot|Egmontbot|Escarbot|GhalyBot|HerculeBot|Idioma-bot|JAnDbot|Le Pied-bot|Luckas-bot|MediaWiki default|MelancholieBot|Muro Bot|NobelBot|PipepBot|PixelBot|Ptbotgourou|Purbo T|Robbot|Rtz-bot|Rubinbot|SassoBot|SieBot|Soulbot|SpBot|Synthebot|TXiKiBoT|Thijs!bot|TjBot|TrengarasuBOT|ViskonBot|VolkovBot|WikiBotas|WikiDreamer Bot|Xqbot|ZordsdaviniBot|ã‚¿ãƒ�ã‚³ãƒž robot
li,Alexbot|AlleborgoBot|Almabot|BotMultichill|Byrialbot|CarsracBot|CiceRobot|EDUCA33E|Erwin85Bot|Escarbot|FANSTARbot|FiriBot|JAnDbot|LinkFA-Bot|Luckas-bot|MediaWiki default|MelancholieBot|OwtbBot|PahlesBot|PipepBot|Ptbotgourou|Purbo T|Robbot|RoboServien|RobotQuistnix|SieBot|Soulbot|SpBot|Synthebot|TXiKiBoT|Thijs!bot|TuvicBot|VolkovBot|YurikBot|Zwobot
wo,Alexbot|AlleborgoBot|AmaraBot|BotMultichill|CarsracBot|Darkicebot|Escarbot|JAnDbot|Le Pied-bot|MelancholieBot|PipepBot|Purbo T|SieBot|TXiKiBoT|Thijs!bot|VolkovBot|ã‚¿ãƒ�ã‚³ãƒž robot
zea,AlleborgoBot|BotMultichill|Byrialbot|CarsracBot|CrazyPhunkbot|Darkicebot|EDUCA33E|Escarbot|JAnDbot|Loveless|MediaWiki default|MelancholieBot|OwtbBot|PipepBot|Purbo T|Robbot|RoboServien|RobotQuistnix|SieBot|TXiKiBoT|VolkovBot|WarddrBOT|ã‚¿ãƒ�ã‚³ãƒž robot
si,AlleborgoBot|BotMultichill|Byrialbot|CommonsDelinker|DragonBot|Escarbot|JAnDbot|KyluBot|Loveless|MediaWiki default|MelancholieBot|PipepBot|Purbo T|RCBot|Robbot|SieBot|SpBot|StigBot|TXiKiBoT|Thijs!bot|Thijssie!bot|VolkovBot|YurikBot
ln,AlleborgoBot|BOT-Superzerocool|BotMultichill|Byrialbot|Escarbot|EsÃ¡liseli-Moyogo|HerculeBot|Idioma-bot|JAnDbot|Le Pied-bot|MediaWiki default|MelancholieBot|PipepBot|Purbo T|SieBot|SoxBot|SpBot|TXiKiBoT|Thijs!bot|VolkovBot|YurikBot
mzn,AlleborgoBot|BotMultichill|Idioma-bot|JhsBot|Loveless|MediaWiki default|PipepBot|Purbo T|TXiKiBoT|TobeBot
lv,Aibot|Albambot|AlleborgoBot|Almabot|BodhisattvaBot|BotMultichill|ButkoBot|Byrialbot|CarsracBot|DEagleBot|D\|DaBot|Darkicebot|DirlBot|DixonDBot|Egmontbot|EmausBot|Escarbot|GZ-Bot|HerculeBot|Idioma-bot|JAnDbot|LA2-bot|Le Pied-bot|Luckas-bot|MauritsBot|MediaWiki default|MelancholieBot|MondalorBot|Muro Bot|PapuassBot|PipepBot|Ptbotgourou|Purbo T|Qwa bot|RibotBOT|Rubinbot|SassoBot|SieBot|SilvonenBot|SpBot|StigBot|Synthebot|Sz-iwbot|TXiKiBoT|Thijs!bot|TjBot|ViskonBot|VolkovBot|WikiBotas|WikiDreamer Bot|Xqbot|YonaBot|YurikBot|Zxabot|ã‚¿ãƒ�ã‚³ãƒž robot
no,Aibot|Albambot|Alecs.bot|Alexbot|Amirobot|Andersbot|ArthurBot|BOTarate|BepBot|BjornNbot|BodhisattvaBot|BotMultichill|BotSottile|Broadbot|Btdbot|Chobot|Dinamik-bot|DragonBot|EleferenBot|EmausBot|Escarbot|FiriBot|FlaBot|Gpvosbot|H92Bot|Haraldsbot|HeltBot|HerculeBot|Hxhbot|Idioma-bot|JAnDbot|JhsBot|Jotterbot|KhanBot|KjelloBot|Kwjbot|LA2-bot|LaaknorBot|Loveless|Luckas-bot|MGA73bot|MSBOT|MagnusA.Bot|MelancholieBot|MenoBot|MerlLinkBot|MondalorBot|Muro Bot|MystBot|Nallimbot|Peti610bot|Probot|Ptbotgourou|Purbo T|RibotBOT|Robbot|RobotQuistnix|Roedbot|RussBot|SieBot|SilvonenBot|Soulbot|SpBot|SpillingBot|StigBot|Synthebot|TXiKiBoT|Thijs!bot|TjBot|TobeBot|VanBot|VolkovBot|WeggeBot|WikiBotas|Wybot|Zaarbot|Zorrobot|Zwobot|Zxabot
ba,AZatBot|Alexbot|AlleborgoBot|BotMultichill|ButkoBot|Byrialbot|CarsracBot|Escarbot|JAnDbot|LaaknorBot|Loveless|LucienBOT|MastiBot|MediaWiki default|NobelBot|PipepBot|Ptbotgourou|Purbo T|Robbot|SassoBot|SieBot|TXiKiBoT|Thijs!bot|Ugur Basak Bot|UltraBot|VolkovBot
bo,Alexbot|AlleborgoBot|BodhisattvaBot|BotMultichill|Byrialbot|EDUCA33E|Escarbot|Idioma-bot|JAnDbot|MauritsBot|MediaWiki default|PipepBot|Purbo T|Robbot|SieBot|TXiKiBoT|Thijs!bot|ViskonBot|VolkovBot
br,Albambot|Alecs.bot|Alexbot|AlleborgoBot|Almabot|ArthurBot|Ash Bot|BOTarate|BenoniBot|BodhisattvaBot|BotMultichill|Byrialbot|CarsracBot|DSisyphBot|Darkicebot|Egmontbot|EleferenBot|EmausBot|Escarbot|FoxBot|GhalyBot|GnawnBot|HerculeBot|Idioma-bot|JAnDbot|Le Pied-bot|Loveless|Luckas-bot|MastiBot|MediaWiki default|MelancholieBot|MondalorBot|Muro Bot|NobelBot|PipepBot|PolarBot|Ptbotgourou|Purbo T|Robbot|Rubinbot|SassoBot|SieBot|SoxBot|SpBot|Synthebot|TXiKiBoT|Thijs!bot|TjBot|VolkovBot|WarddrBOT|WikiDreamer Bot|Xqbot|YunBot|Zxabot|ã‚¿ãƒ�ã‚³ãƒž robot
co,Alexbot|AlleborgoBot|BOT-Superzerocool|BotMultichill|Byrialbot|Darkicebot|EmausBot|Escarbot|FoxBot|Idioma-bot|JAnDbot|Kwjbot|Luckas-bot|MediaWiki default|MelancholieBot|PipepBot|Purbo T|Robbot|SieBot|SpBot|Synthebot|Sz-iwbot|TXiKiBoT|Thijs!bot|TobeBot|VolkovBot
ki,AlleborgoBot|BotMultichill|Idioma-bot|Loveless|MediaWiki default|PipepBot|Purbo T|SieBot
te,Albambot|AlleborgoBot|BodhisattvaBot|BotMultichill|Byrialbot|DragonBot|Escarbot|Idioma-bot|JAnDbot|Le Pied-bot|Loveless|Luckas-bot|MediaWiki default|MelancholieBot|Mpradeepbot|Muro Bot|PipepBot|Ptbotgourou|Purbo T|SieBot|Synthebot|TXiKiBoT|Thijs!bot|TinucherianBot II|TobeBot|VolkovBot|Vyzbot|WikiDreamer Bot|ã‚¿ãƒ�ã‚³ãƒž robot
io,AlleborgoBot|Almabot|AmphBot|BodhisattvaBot|BotMultichill|ButkoBot|Byrialbot|Chobot|Darkicebot|Diego Grez Bot|DixonDBot|Egmontbot|Escarbot|Idioma-bot|JAnDbot|Loveless|MalafayaBot|MediaWiki default|MelancholieBot|PipepBot|Purbo T|Robbot|SassoBot|SieBot|SilvonenBot|SoxBot|SpBot|StigBot|Synthebot|Sz-iwbot|TXiKiBoT|TechBot|Thijs!bot|VolkovBot|WikiDreamer Bot|YurikBot|ã‚¿ãƒ�ã‚³ãƒž robot
ast,Alecs.bot|Alexbot|AlleborgoBot|Almabot|BOT-Superzerocool|BOTarate|BodhisattvaBot|BotMultichill|ButkoBot|Byrialbot|CarsracBot|Chlewbot|Darkicebot|Diego Grez Bot|DirlBot|EsbarduBot|Escarbot|Homobot|Idioma-bot|JAnDbot|Kwjbot|Le Pied-bot|LucienBOT|Luckas-bot|MastiBot|MediaWiki default|MelancholieBot|NobelBot|PipepBot|PixelBot|Ptbotgourou|Purbo T|RCBot|Rembiapo pohyiete (bot)|Robbot|RsgBot|Rubinbot|SassoBot|SieBot|Soulbot|SoxBot|SpBot|StigBot|Synthebot|Sz-iwbot|TXiKiBoT|Thijs!bot|VolkovBot|WikiDreamer Bot|YurikBot|Zwobot|Zxabot|ã‚¿ãƒ�ã‚³ãƒž robot
wa,Alexbot|AlleborgoBot|BotMultichill|Byrialbot|Escarbot|Idioma-bot|JAnDbot|Loveless|MediaWiki default|PipepBot|Purbo T|R. Giskard Reventlov|Robbot|Rubinbot|SieBot|SpBot|StigBot|Sz-iwbot|TXiKiBoT|Thijs!bot|WikiDreamer Bot|YurikBot|Zwobot
az,Albambot|Alecs.bot|Alexbot|AlleborgoBot|Almabot|BodhisattvaBot|BotMultichill|Darkicebot|Dinamik-bot|DixonDBot|Egmontbot|EmausBot|Escarbot|Idioma-bot|JAnDbot|Kwjbot|Loveless|LucienBOT|Memty Bot|MondalorBot|PipepBot|Ptbotgourou|Purbo T|Rubinbot|SieBot|SpBot|Synthebot|TXiKiBoT|Tanhabot|Thijs!bot|TjBot|TobeBot|VolkovBot|ã‚¿ãƒ�ã‚³ãƒž robot
ik,AlleborgoBot|BotMultichill|Loveless|MediaWiki default|PipepBot|Purbo T|SieBot
ilo,AlleborgoBot|BotMultichill|Byrialbot|Idioma-bot|MediaWiki default|MelancholieBot|PipepBot|Purbo T|SieBot|SpBot|Superzerocool|TXiKiBoT|Thijs!bot|VolkovBot|YurikBot
war,AlleborgoBot|ArthurBot|BotMultichill|Byrialbot|Diego Grez Bot|Egmontbot|EmausBot|Idioma-bot|Luckas-bot|MediaWiki default|MondalorBot|PipepBot|Purbo T|SieBot|SpBot|Superzerocool|TjBot|YurikBot|ã‚¿ãƒ�ã‚³ãƒž robot
