test,BetacommandBot|MediaWiki default
fo,AlleborgoBot|BotMultichill|Broadbot|Byrialbot|Escarbot|JAnDbot|JhsBot|MediaWiki default|PipepBot|Purbo T|QuackorBot|Robbot|SauÃ°kindin|SieBot|SilvonenBot|Sz-iwbot|TXiKiBoT|Thijs!bot|TuvicBot|VolkovBot|YurikBot|Zwobot|ã‚¿ãƒ�ã‚³ãƒž robot
dv,Alexbot|AlleborgoBot|Almabot|BotMultichill|Byrialbot|CarsracBot|Darkicebot|FiriBot|HerculeBot|Idioma-bot|Luckas-bot|MastiBot|MediaWiki default|PipepBot|PixelBot|Ptbotgourou|Purbo T|Rubinbot|SieBot|SpBot|Synthebot|Xqbot
bg,Aibot|Albambot|Alexbot|AlleborgoBot|Almabot|AmphBot|ArthurBot|BOTarate|Bgbot|BloodFire|BodhisattvaBot|BotMultichill|Botz|Byrialbot|ChaosBorn|Chobot|Darkicebot|DirlBot|DixonDBot|DragonBot|Egmontbot|EmausBot|Erwin85Bot|Escarbot|FelixBot|FiriBot|Further (bot)|Gerakibot|Glimz|GnawnBot|Hashar|Idioma-bot|JAnDbot|KokoBot|Kwjbot|LaaknorBot|Le Pied-bot|LucienBOT|Luckas-bot|MastiBot|MediaWiki default|MelancholieBot|Michaello|MondalorBot|Muro Bot|MystBot|Nallimbot|Obersachsebot|PipepBot|PixelBot|Probe|Ptbotgourou|Purbo T|Qualia|RedBot|Robbot|Robo5|Rubinbot|Sherpa|SieBot|SilvonenBot|SpBot|StigBot|Synthebot|Sz-iwbot|TXiKiBoT|Thijs!bot|TjBot|TuvicBot|VolkovBot|WikiDreamer Bot|Wybot|Xqbot|YonaBot|Yurik|YurikBot|Zwobot|Zxabot|Zyxwvut-Bot|Ð‘Ð¾Ñ‚Ñ‡Ð¾|ã‚¿ãƒ�ã‚³ãƒž robot
szl,Alexbot|AlleborgoBot|Beau.bot|CarsracBot|DirlBot|EmausBot|KamikazeBot|MastiBot|MelancholieBot|Miner|PipepBot|Purbo T|SieBot|Stv.bot|VolkovBot
aa,Alexbot|AlleborgoBot|BotMultichill|MediaWiki default|Purbo T|RCBot|SieBot
cdo,Alexbot|AlleborgoBot|BotMultichill|Buffybot|Byrialbot|Chobot|CommonsDelinker|Escarbot|Idioma-bot|Incubator import|JAnDbot|JhsBot|Loveless|MediaWiki default|MelancholieBot|PipepBot|Purbo T|Purodha|Robbot|Siebot|SpBot|Synthebot|TXiKiBoT|Thijs!bot|Valhallasw-bot|VolkovBot|WikiDreamer Bot|Zorrobot
gl,Albambot|AlberteBot|AlleborgoBot|Almabot|Alybot|ArthurBot|AstaBOTh15|BOTarate|BanjoBot|BenoniBot|BodhisattvaBot|BotMultichill|Boteiro|Byrialbot|Chlewbot|DSisyphBot|D\|Darkicebot|DragonBot|Egmontbot|El bot de la dieta|EleferenBot|EmausBot|Escarbot|Estirabot|FlaBot|Frybot|GhalyBot|GnawnBot|HerculeBot|Idioma-bot|JAnDbot|KamikazeBot|Kwjbot|Le Pied-bot|Loveless|LucienBOT|Luckas-bot|MalafayaBot|MastiBot|MedBot|MediaWiki default|MelancholieBot|MerlLinkBot|MondalorBot|Muro Bot|NTBot|Nallimbot|PipepBot|PixelBot|Prebot|Ptbotgourou|Purbo T|Rei-bot|Rembiapo pohyiete (bot)|Rubinbot|SassoBot|SieBot|Soulbot|SpBot|Synthebot|Sz-iwbot|TXiKiBoT|Thijs!bot|TobeBot|TuvicBot|Ver-bot|Vini 17bot5|VolkovBot|WikiDreamer Bot|XoseBot|Xqbot|YonaBot|YurikBot|Zwobot|Zxabot|Zyxwvut-Bot
eu,Albambot|Alexbot|AlleborgoBot|AmaraBot|AmphBot|An13saBot|AstaBOTh15|BOTarate|BarrieBot|BetoÃ±oBot|BodhisattvaBot|BotMultichill|ButkoBot|CarsracBot|Darkicebot|DirlBot|DragonBot|Egmontbot|EnzaiBot|Escarbot|FiriBot|FlaBot|GhalyBot|HerculeBot|Idioma-bot|JAnDbot|Janfribot|KabriBot|Kwjbot|Loveless|LucienBOT|Luckas-bot|MSBOT|MastiBot|MediaWiki default|MelancholieBot|MondalorBot|Muro Bot|NobelBot|Noe jimenez Bot|PipepBot|Ptbotgourou|Purbo T|Rei-bot|Robbot|SassoBot|SieBot|SilvonenBot|SoxBot|SpBot|StigBot|Synthebot|Sz-iwbot|TXiKiBoT|TheklanBot|Thijs!bot|TjBot|TobeBot|TuvicBot|VolkovBot|WikiDreamer Bot|YonaBot|Yrbot|YurikBot|Zxabot|ã‚¿ãƒ�ã‚³ãƒž robot
simple,Albambot|Alexbot|Almabot|AmaraBot|Amirobot|AmphBot|AndersBot|ArthurBot|AvicBot|BOTarate|BOTijo|BenzolBot|BodhisattvaBot|BotMultichill|BotSottile|CarsracBot|ChenzwBot|Chobot|Chris G Bot|CrazyPhunkbot|D\|Dinamik-bot|DixonDBot|DorganBot|DragonBot|Egmontbot|EhJBot1|EhJBot5|EleferenBot|EmausBot|Escarbot|Filbot|FlaBot|GhalyBot|GrouchoBot|Idioma-bot|JAnDbot|Jotterbot|Kgsbot|Kwjbot|LSG1-Bot|LaaknorBot|LinkFA-Bot|Luckas-bot|MagnusA.Bot|MastiBot|MaximillionBot|MediaWiki default|MelancholieBot|MenasimBot|Mentibot|MerlLinkBot|MifterBot|MiszaBot|MondalorBot|Muro Bot|MystBot|Nallimbot|NonvocalScreamAuto|PiRSquared Flooder|PiRSquared17Bot1|PiRSquared17Bot2|PmlineditorBot|Ptbotgourou|Purbo T|Rameshngbot|RibotBOT|Robbot|RussBot|SassoBot|SieBot|SilvonenBot|Soulbot|SoxBot|SpBot|StigBot|Synthebot|TXiKiBoT|Thijs!bot|Thollybot|TinucherianBot II|TobeBot|ToePeu.bot|TottyBot|VecBot|Vini 17bot5|VolkovBot|Wybot|XeBot|Xqbot|Zorrobot|ZÃ©roBot
cbk_zam,Alexbot|AlleborgoBot|BotMultichill|CarsracBot|Idioma-bot|LucienBOT|MediaWiki default|PipepBot|Purbo T|SieBot
ku,Alexbot|AlleborgoBot|Almabot|BodhisattvaBot|BotMultichill|Byrialbot|D\|Darkicebot|Escarbot|FiriBot|FlaBot|FoxBot|GnawnBot|Huzzlet the bot|Idioma-bot|JAnDbot|JhsBot|Le Pied-bot|Loveless|Luckas-bot|MediaWiki default|MelancholieBot|PipepBot|Purbo T|Robbot|RobotJcb|SieBot|SpBot|Synthebot|Sz-iwbot|TXiKiBoT|Thijs!bot|TobeBot|VolkovBot|WikiDreamer Bot|YurikBot|Zwobot|ã‚¿ãƒ�ã‚³ãƒž robot|ã‚¿ãƒ�ã‚³ãƒž robot (old)
mh,AlleborgoBot|BotMultichill|MediaWiki default|Purbo T
zh_yue,Alexbot|AlleborgoBot|Almabot|Amirobot|ArthurBot|BOTijo|BokimBot|BotMultichill|Byrialbot|CarsracBot|Chobot|CommonsDelinker|CommonsDelinker2|Darkicebot|Diego Grez Bot|Dinamik-bot|EleferenBot|EmausBot|Escarbot|FjBot|HerculeBot|Huzzlet the bot|Idioma-bot|JAnDbot|JackieBot|KamikazeBot|Kwjbot|Le Pied-bot|Loveless|Luckas-bot|MastiBot|MediaWiki default|MelancholieBot|Muro Bot|NobelBot|OKBot|PipepBot|PixelBot|Ptbotgourou|Purbo T|R. Hillgentleman|Rameshngbot|Robbot|Rubinbot|SassoBot|SieBot|Soulbot|SpBot|Synthebot|TXiKiBoT|Thijs!bot|TjBot|TobeBot|Vina-iwbot|VolkovBot|WikiDreamer Bot|Xqbot|Zxabot|ã‚¿ãƒ�ã‚³ãƒž robot
am,Alexbot|AlleborgoBot|Almabot|AmaraBot|Amirobot|BotMultichill|Byrialbot|CarsracBot|Darkicebot|EDUCA33E|Egmontbot|Escarbot|FoxBot|Idioma-bot|JAnDbot|Loveless|Luckas-bot|MediaWiki default|MelancholieBot|PipepBot|PixelBot|Ptbotgourou|Purbo T|RCBot|Robbot|SieBot|Synthebot|TXiKiBoT|TechBot|Thijs!bot|VolkovBot|WikiDreamer Bot|Xqbot
sco,AlleborgoBot|ArthurBot|BotMultichill|Byrialbot|CarsracBot|CommonsDelinker2|Diego Grez Bot|Escarbot|FiriBot|FoxBot|HerculeBot|JAnDbot|Le Pied-bot|Luckas-bot|MediaWiki default|MelancholieBot|PipepBot|Ptbotgourou|Purbo T|RebelRobot|Robbot|SieBot|Soulbot|SpBot|StigBot|Synthebot|TXiKiBoT|Thijs!bot|TobeBot|TrengarasuBOT|VolkovBot|YurikBot|Zwobot|ã‚¿ãƒ�ã‚³ãƒž robot
ch,Alexbot|AlleborgoBot|BotMultichill|MediaWiki default|Purbo T|SieBot|TXiKiBoT
to,Alexbot|AlleborgoBot|BotMultichill|Byrialbot|CarsracBot|Escarbot|Idioma-bot|JAnDbot|Le Pied-bot|Loveless|MediaWiki default|MelancholieBot|OKBot|PipepBot|PixelBot|Purbo T|RCBot|Robbot|SieBot|Soulbot|SpBot|Synthebot|TXiKiBoT|Thijs!bot|VolkovBot|ã‚¿ãƒ�ã‚³ãƒž robot
chy,Alexbot|AlleborgoBot|BotMultichill|MediaWiki default|Purbo T|SieBot|ã‚¿ãƒ�ã‚³ãƒž robot
pap,AlleborgoBot|BotMultichill|CarsracBot|Loveless|MediaWiki default|PipepBot|Purbo T
