20100815,csbwiki,csbwiki/20100815,stub|7z|bz2
20100816,csbwiktionary,csbwiktionary/20100816,stub|7z|bz2
20100815,cswiki,cswiki/20100815,stub|7z|bz2
20100815,cswikibooks,cswikibooks/20100815,stub|7z|bz2
20101102,cswikinews,cswikinews/20101102,stub|7z|bz2
20100815,cswikiquote,cswikiquote/20100815,stub|7z|bz2
20100815,cswikisource,cswikisource/20100815,stub|7z|bz2
20100812,cswikiversity,cswikiversity/20100812,stub|7z|bz2
20100815,cswiktionary,cswiktionary/20100815,stub|7z|bz2
20100815,cuwiki,cuwiki/20100815,stub|7z|bz2
20100813,cvwiki,cvwiki/20100813,stub|7z|bz2
20100816,cvwikibooks,cvwikibooks/20100816,stub|7z|bz2
20100815,cywiki,cywiki/20100815,stub
20100813,cywikibooks,cywikibooks/20100813,stub|7z|bz2
20100814,cywikiquote,cywikiquote/20100814,stub|7z|bz2
20100813,cywikisource,cywikisource/20100813,stub|7z|bz2
20100814,cywiktionary,cywiktionary/20100814,stub|7z|bz2
20100812,dawiki,dawiki/20100812,stub|7z|bz2
20100813,dawikibooks,dawikibooks/20100813,stub|7z|bz2
20100813,dawikiquote,dawikiquote/20100813,stub|7z|bz2
20100813,dawikisource,dawikisource/20100813,stub|7z|bz2
20100813,dawiktionary,dawiktionary/20100813,stub|7z|bz2
20100816,de_labswikimedia,de_labswikimedia/20100816,stub|7z|bz2
20110112,dewiki,dewiki/20110111,stub|7z|bz2
20100815,dewikibooks,dewikibooks/20100815,stub|7z|bz2
20100813,dewikinews,dewikinews/20100813,stub|7z|bz2
20100815,dewikiquote,dewikiquote/20100815,stub|7z|bz2
20100815,dewikisource,dewikisource/20100815,stub|7z|bz2
20100813,dewikiversity,dewikiversity/20100813,stub|7z|bz2
20100814,dewiktionary,dewiktionary/20100814,stub|7z|bz2
20100813,diqwiki,diqwiki/20100813,stub|7z|bz2
20110112,dkwikimedia,dkwikimedia/20110112,stub|7z|bz2
20110112,dsbwiki,dsbwiki/20110112,stub|7z|bz2
20100813,dvwiki,dvwiki/20100813,stub|7z|bz2
